record_id,question,anchor,answerchoice_a,answerchoice_b,answerchoice_c,answerchoice_d,answerchoice_e,correct_answer,answer_explanation,age,subject,shelf_image,student_assessment_shelf_complete
NACHWXJS,"A 15-year-old boy presents due to lack of any pubertal development. He is shorter than his peers and has no pubic hair or testicular enlargement. Family history reveals that his father also had delayed puberty. Bone age is consistent with a 12-year-old.","What is the most likely diagnosis?","Klinefelter syndrome","Constitutional delay of growth and puberty","Isolated hypogonadotropic hypogonadism","Turner syndrome","Chronic systemic illness",b,"Constitutional delay of growth and puberty is the most common cause of delayed puberty in boys and is often familial. Delayed bone age and normal height velocity support this diagnosis. Reassurance is appropriate unless puberty fails to progress by age 18.",15,1,,0
NKX5W27B,"A 4-year-old boy presents with a white reflex in photographs of his right eye. Parents also noticed that the pupil appears white in dim lighting. There is no history of trauma or infection. On exam, a leukocoria is observed. The child otherwise appears well.","What is the most likely diagnosis?",Cataract,Retinoblastoma,Strabismus,Glaucoma,"Persistent fetal vasculature",b,"Retinoblastoma should be suspected in any child with leukocoria (white pupil reflex). It is a life-threatening ocular tumor. Prompt referral to ophthalmology and imaging (ultrasound or MRI) is essential to confirm the diagnosis and initiate treatment.",4,18,,0
NQ94EW1H,"A 7-year-old child is brought in for vision screening at school. She complains of difficulty seeing the whiteboard but no issues with reading or near work. Visual acuity is 20/60 in the right eye and 20/20 in the left. There is no squint or head tilting.","What is the most likely diagnosis?",Strabismus,Hyperopia,Amblyopia,Myopia,Astigmatism,d,"Myopia (nearsightedness) typically presents with difficulty seeing distant objects such as the classroom board. It is commonly diagnosed in school-aged children and managed with corrective lenses.",7,18,,0
OCLW4Y0H,"A 17-year-old male presents to the clinic after noticing a swelling in his left testicle during a shower. He reports no pain, but he is worried because his uncle had testicular cancer. On exam, there is a firm, non-tender mass in the left testicle that does not transilluminate. There is no inguinal lymphadenopathy, and the contralateral testicle is normal.","What is the best next step in evaluation?","Schedule biopsy for histologic diagnosis","Refer for orchiectomy","Order scrotal ultrasound","Measure scrotal circumference","Observe for 3 months",c,"A firm, non-tender, non-transilluminating testicular mass in an adolescent is highly suspicious for malignancy. Ultrasound is the first step to confirm whether the lesion is solid or cystic. Biopsy is avoided due to risk of tumor seeding.",17,1,,0
OGS03LAO,"A 6-year-old girl presents with colicky abdominal pain, vomiting, and rectal bleeding. She has a soft abdomen with some tenderness. Parents report she had a recent upper respiratory infection. An abdominal ultrasound shows a 'target sign.'","What is the next best step in management?","Emergency laparotomy","Air or contrast enema reduction","IV fluids and observation","Nasogastric decompression","Empiric antibiotics",b,"Intussusception is a common cause of bowel obstruction in young children. It is often post-viral and treated with air or contrast enema, which is both diagnostic and therapeutic.",6,7,,0
ON08LUBC,"A 4-month-old girl is brought in for a well-child visit. On physical exam, the pediatrician notes asymmetrical thigh creases and limited abduction of the left hip. Barlow and Ortolani maneuvers are equivocal. The infant was breech at birth.","What is the most appropriate next step in management?","Observation and repeat exam at 9 months","Start hip strengthening exercises","Refer for hip ultrasound","Order X-ray of the pelvis","Reassure parents and discharge",c,"Developmental dysplasia of the hip (DDH) is suspected with asymmetric creases and limited abduction. Ultrasound is preferred imaging in infants <6 months since the femoral head is not fully ossified. Breech birth is a known risk factor.",0.33,19,,0
OQR7EB3V,"An 11-year-old girl is brought to the pediatric clinic by her mother due to early breast development and a recent episode of vaginal spotting. The mother is concerned because the patient has also experienced a recent growth spurt and body odor. The child denies any abdominal pain or trauma. On physical exam, the patient is Tanner stage III for breast development and pubic hair. Her height is above the 95th percentile for age, and her bone age is advanced compared to chronological age. A pelvic ultrasound reveals an enlarged uterus with an ovarian follicle.","What is the most likely diagnosis?","Central precocious puberty","Peripheral precocious puberty","Constitutional growth delay","Androgen-secreting tumor","Isolated premature thelarche",a,"Central precocious puberty results from early activation of the hypothalamic-pituitary-gonadal axis. It is characterized by the development of secondary sexual characteristics, an advanced bone age, and pubertal levels of LH/FSH. Ovarian follicles and increased uterine size on ultrasound support the diagnosis.",11,6,,0
OQYAE8VZ,"A 16-year-old boy with a history of asthma presents with fatigue, decreased appetite, and irritability. He reports using a friend's oral corticosteroids for a recent asthma flare and has continued taking them daily for the past 3 weeks without physician supervision. On exam, he has a round face, mild acne, and central weight gain.","What is the most appropriate initial test?","Plasma ACTH and cortisol","CT scan of the adrenal glands","24-hour urine free cortisol","MRI of the pituitary","Dexamethasone suppression test",a,"Exogenous steroid use can suppress the hypothalamic-pituitary-adrenal axis. Measuring morning cortisol and ACTH levels can help assess for adrenal insufficiency, especially if the steroids are abruptly discontinued.",16,1,,0
OTK4CDNA,"A 3-year-old child presents to the ED in winter with barking cough, hoarseness, and inspiratory stridor. Symptoms started with nasal congestion. Vital signs show a low-grade fever and mild respiratory distress. A lateral neck X-ray is obtained and shows subglottic narrowing (steeple sign).","What is the most appropriate treatment?","Nebulized albuterol","Systemic corticosteroids and nebulized epinephrine","Empiric antibiotics and IV fluids","Intubation in the operating room","Supportive care only",b,"Croup is caused by parainfluenza virus and presents with barking cough and stridor. Treatment includes corticosteroids for all cases and nebulized epinephrine for moderate to severe symptoms.",3.0,22,,0
PBE12W3F,"A 10-year-old girl presents with recurrent urinary tract infections and new-onset fever and flank pain. On physical exam, she has costovertebral angle tenderness. Urinalysis shows pyuria and bacteriuria. A renal ultrasound reveals hydronephrosis and scarring.","What is the most likely underlying cause?","Urinary tract obstruction","Renal cell carcinoma","Renal agenesis","Vesicoureteral reflux",Glomerulonephritis,d,"Vesicoureteral reflux (VUR) is a common cause of recurrent UTIs and renal scarring in children. It can lead to reflux nephropathy and long-term kidney damage. A voiding cystourethrogram (VCUG) is used for diagnosis.",10.0,20,,0
PHJQ5S22,"A 2-month-old infant presents for a well-child visit. The parents ask whether the baby is developing normally. They report that the baby smiles when seeing familiar faces and occasionally coos. The baby can briefly lift the head while lying prone. There is no concern about feeding or sleep.","Which of the following developmental milestones is expected at this age?","Rolls from front to back","Sits unsupported","Social smile","Waves bye-bye","Uses a pincer grasp",c,"The social smile typically emerges by 6 to 8 weeks of age. Cooing and brief head lifting are also age-appropriate. Milestones such as rolling, sitting, and pincer grasp occur later in infancy.",0.17,4,,0
Q1JW4SOP,"A 17-year-old male presents to the emergency department with muscle weakness and palpitations. He has a history of bulimia nervosa and admits to self-induced vomiting and laxative abuse over the past month in an attempt to lose weight for wrestling season. He reports episodes of lightheadedness and fatigue. On exam, he is alert but mildly dehydrated. His blood pressure is 100/60 mmHg, heart rate is 110 bpm, and BMI is 19. Laboratory studies show low potassium, low chloride, and metabolic alkalosis.","Which of the following is the next best step in management?","Admit to inpatient psychiatric unit","Refer to outpatient therapy for bulimia","Start rehydration and correct electrolyte abnormalities","Prescribe potassium-sparing diuretics","Order brain MRI to rule out neurologic causes",c,"Electrolyte abnormalities in bulimia nervosa, especially hypokalemia and metabolic alkalosis, can lead to life-threatening cardiac arrhythmias. Immediate medical stabilization with fluid and electrolyte replacement is critical before initiating psychiatric treatment.",17,1,,0
Q3LXFHR4,"A 3-week-old infant is brought in due to nasal congestion and poor feeding. The infant is afebrile but appears tachypneic. On auscultation, bilateral wheezing and crackles are heard. Chest X-ray shows hyperinflation. Siblings recently had a 'cold.'","What is the most likely diagnosis?",Asthma,Bronchiolitis,"Congenital pneumonia",Tracheomalacia,Pertussis,b,"Bronchiolitis, most commonly caused by RSV, presents in infants <2 years with congestion, wheezing, cough, and feeding difficulties. Hyperinflation on chest X-ray supports the diagnosis. Supportive care is the mainstay of treatment.",0.05,12,,0
Q5REMWAQ,"A 16-year-old male presents to the clinic for evaluation of gynecomastia. He is embarrassed about the appearance and avoids swimming or changing clothes in front of others. He reports no drug use or systemic symptoms. On exam, he has bilateral firm, rubbery breast tissue without nodules or discharge. He is Tanner stage IV. The rest of the physical exam is unremarkable.","What is the most appropriate management?","Refer to surgery","Start tamoxifen","Reassure and monitor","Order hormone panel","Schedule mammogram",c,"Pubertal gynecomastia is common in adolescent males and usually resolves within 6-12 months. Reassurance is appropriate unless there is rapid growth, hard or fixed mass, or systemic symptoms.",16,1,,0
QJONEMNJ,"A 6-month-old infant presents for a routine visit. The pediatrician notices that the child's left eye consistently turns inward when focusing on objects. The condition has been present for at least 2 months according to the parents.","What is the most appropriate next step in management?","Reassure and observe","Start patching the affected eye","Refer to pediatric ophthalmology","Prescribe corrective lenses","Order head CT to rule out mass",c,"Strabismus after age 4-6 months is considered pathologic and should be evaluated by ophthalmology to prevent amblyopia. Early intervention can involve patching, corrective lenses, or surgery depending on the severity.",0.5,18,,0
QK9NM348,"A 2-month-old infant is brought in for persistent cough and episodes of turning blue while feeding. She has not been vaccinated. On exam, she has bursts of coughing followed by gasping inhalation. There is mild facial petechiae. A CBC reveals marked lymphocytosis.","What is the most likely diagnosis?","RSV bronchiolitis",Pertussis,"Parainfluenza croup",Tuberculosis,"Influenza A",b,"Pertussis should be suspected in unvaccinated infants with paroxysmal coughing, post-tussive emesis, and apnea. Lymphocytosis is a classic lab finding. Early antibiotic treatment may limit spread but does not reduce symptoms.",0.17,12,,0
QQCA1T25,"A 17-year-old male is brought in by his parents for erratic behavior and poor school performance. He is irritable, disheveled, and has dilated pupils. On exam, he appears restless and repeatedly picks at his skin. Parents found white powder and a rolled-up bill in his backpack.","Which substance is most likely responsible for his presentation?",Cannabis,Cocaine,Alcohol,Benzodiazepines,Opioids,b,"Cocaine use is associated with sympathetic overactivity (e.g., dilated pupils, agitation, tachycardia), skin picking, and impaired judgment. The presence of white powder and paraphernalia supports the diagnosis.",17,1,,0
QQKU3MOW,"A 12-year-old boy presents with increasing back pain and weakness in his legs. He also has difficulty walking. Exam reveals hyperreflexia and decreased strength in both lower limbs. MRI shows an epidural spinal mass compressing the spinal cord.","What is the most appropriate initial step in management?","Refer to physical therapy","Start oral corticosteroids","Begin chemotherapy","Perform surgical decompression","Order lumbar puncture",b,"Spinal cord compression from an epidural tumor is an oncologic emergency. High-dose corticosteroids are initiated to reduce edema and preserve neurologic function while awaiting definitive therapy.",12.0,17,,0
QXHO9P6R,"A 4-day-old newborn is brought in with jaundice, poor feeding, and lethargy. He was exclusively breastfed. Birth was uncomplicated, and he was discharged home after 24 hours. On exam, he appears ill with scleral icterus and hepatomegaly. Labs reveal elevated total and direct bilirubin. Coagulation studies show prolonged PT and aPTT.","What is the most likely cause of this presentation?","Breast milk jaundice",Galactosemia,"Physiologic jaundice","Crigler-Najjar syndrome","Sepsis from group B Streptococcus",b,"Galactosemia can present in the first few days of life with jaundice, vomiting, lethargy, hepatomegaly, and bleeding diathesis. It results from a deficiency of galactose-1-phosphate uridyltransferase and requires elimination of galactose/lactose from the diet.",0.01,13,,0
R2Z7E2BH,"A 15-year-old girl presents with complaints of chronic fatigue, cold intolerance, and recent weight gain. She also reports that her periods have become heavier and more irregular over the last 3 months. On physical exam, she has dry skin, delayed reflexes, and a slightly enlarged, non-tender thyroid gland. Her BMI is 28 and vital signs show bradycardia.","Which of the following is the most likely diagnosis?","Primary hypothyroidism","Polycystic ovarian syndrome","Anorexia nervosa","Major depressive disorder","Constitutional delay",a,"This adolescent has signs and symptoms of primary hypothyroidism, including fatigue, bradycardia, weight gain, dry skin, heavy menses, and delayed reflexes. The presence of goiter also supports thyroid dysfunction.",15,1,,0
RPQHJNQA,"A 3-month-old infant presents with a 3-day history of cough, congestion, and poor feeding. On exam, the infant is tachypneic with nasal flaring and intercostal retractions. Auscultation reveals diffuse wheezes and crackles. Oxygen saturation is 91% on room air. RSV testing is positive.","What is the most appropriate initial management?","Start inhaled albuterol","Begin oral steroids","Supportive care including oxygen and hydration","Start azithromycin","Admit to ICU for empiric antibiotics",c,"Bronchiolitis, most commonly caused by RSV, presents with respiratory distress in infants. Treatment is supportive, focusing on maintaining oxygenation and hydration. Bronchodilators and steroids are not routinely effective.",0.25,12,,0
RU093XN0,"At a 12-month visit, a child is observed to take a few independent steps, pick up small bits of food using thumb and forefinger, and point to desired toys. He also says 'mama' and 'dada' specifically and follows one-step commands like 'give me the ball.'","Which developmental domain does the pincer grasp reflect?","Gross motor",Language,Social,"Fine motor",Cognitive,d,"The pincer grasp, a fine motor skill, typically develops around 9â€""12 months. It reflects increasing motor control and coordination of thumb and forefinger for small object manipulation.",1.0,4,,0
RVZEIHB1,"A 3-day-old newborn is found to have bilateral conjunctival injection, scant discharge, and mild eyelid swelling. The infant was delivered vaginally, and erythromycin ointment was administered at birth. Symptoms began within the first 24 hours of life.","What is the most likely cause of these symptoms?","Chemical conjunctivitis","Chlamydia trachomatis conjunctivitis","Neisseria gonorrhoeae conjunctivitis","HSV keratoconjunctivitis","Allergic conjunctivitis",a,"Chemical conjunctivitis commonly occurs within the first 24 hours after birth as a reaction to prophylactic erythromycin. It is self-limited and typically resolves without treatment. Bacterial causes occur later (2-5 days for gonorrhea, 5-14 days for chlamydia).",0.008,18,,0
S5P9L8W7,"A 15-year-old boy presents with progressive testicular enlargement and increased body odor over the past year. He reports mood swings, increased appetite, and a recent voice change. Physical exam shows Tanner stage IV pubic hair and testicular volume of 15 mL.","What is the most appropriate interpretation of these findings?","Delayed puberty","Constitutional delay","Precocious puberty","Normal pubertal progression",Hypogonadism,d,"These findings are consistent with normal male puberty. Testicular volume greater than 4 mL and progression of pubic hair indicate normal timing and development.",15,1,,0
S6UN13PW,"A 16-year-old girl presents for counseling about contraception. She is sexually active and does not want to involve her parents. She is in good health, has regular periods, and is up to date on vaccinations. She prefers a method that does not require daily attention.","Which of the following is the most appropriate option?","Combined oral contraceptive pills","Condoms alone","Levonorgestrel-releasing IUD","Spermicide with diaphragm","Tubal ligation",c,"Long-acting reversible contraception (LARC) such as the levonorgestrel-releasing IUD is safe, effective, and recommended for adolescents. It provides highly effective contraception and is suitable for those seeking confidentiality and convenience.",16,1,,0
SOLTM1TM,"A 17-year-old male presents for evaluation of gynecomastia, which he noticed developing over the last 3 months. He denies drug use, medications, or any symptoms such as breast pain or nipple discharge. His BMI is 27. On exam, bilateral breast tissue is palpable under the areolae without nodules or asymmetry. Testicular exam is normal, and there are no signs of liver disease or thyroid dysfunction.","Which of the following is the most appropriate next step?","Order serum estradiol and testosterone","Reassure and observe","Refer for surgical excision","Start tamoxifen","Check for Klinefelter syndrome",b,"Pubertal gynecomastia is common, transient, and usually resolves within 1-2 years without treatment. In the absence of concerning features (unilateral mass, hard or fixed nodules, systemic illness), reassurance is appropriate.",17,1,,0
SROG10YT,"A 15-year-old girl presents for routine care. She reports being sexually active with one partner and uses condoms inconsistently. She has no symptoms of vaginal discharge, pain, or urinary problems. She has never had any STI testing. She is otherwise healthy and not taking any medications.","Which of the following is the most appropriate screening test to offer at this visit?","HPV DNA testing","Pap smear","Nucleic acid amplification test for chlamydia and gonorrhea","HIV antibody test only if symptomatic","RPR and hepatitis B panel",c,"CDC guidelines recommend routine screening for chlamydia and gonorrhea in all sexually active females under 25 years of age using NAAT (nucleic acid amplification testing), regardless of symptoms.",15,1,,0
T1LJ1QZO,"A 5-year-old boy presents with a history of recurrent sinopulmonary infections, including multiple episodes of pneumonia and otitis media. He has no significant infections in the first year of life. Laboratory testing shows decreased levels of all immunoglobulin classes and poor vaccine response.","What is the most likely diagnosis?","Hyper-IgM syndrome","Severe combined immunodeficiency","Common variable immunodeficiency","X-linked agammaglobulinemia","Transient hypogammaglobulinemia of infancy",c,"Common variable immunodeficiency (CVID) presents later in childhood or adolescence with recurrent infections and low levels of IgG, IgA, and/or IgM. Patients have normal B cell counts but impaired antibody production and poor vaccine response.",5,11,,0
T2J3578S,"A 2-week-old newborn presents with poor feeding, tachypnea, and hepatomegaly. The infant was born full-term without complications. On exam, the infant is cool to the touch with diminished femoral pulses and a gallop rhythm. Blood pressure is 70/45 in the right arm and 52/38 in the leg.","What is the most likely diagnosis?","Ventricular septal defect","Coarctation of the aorta","Hypoplastic left heart syndrome","Pulmonary atresia","Tetralogy of Fallot",b,"Coarctation of the aorta presents in the neonatal period with poor feeding, shock, and differential blood pressure between upper and lower extremities. Diminished femoral pulses and heart failure signs like hepatomegaly are classic. Prostaglandin E1 should be started urgently.",0.04,2,,0
T6QEWRTH,"A 2-week-old infant presents with poor feeding, abdominal distension, and bloody stools. He was born at 30 weeks gestation and has been on enteral feeds. Abdominal X-ray shows pneumatosis intestinalis.","What is the most likely diagnosis?","Hirschsprung disease","Necrotizing enterocolitis","Midgut volvulus",Gastroenteritis,"Pyloric stenosis",b,"NEC is a life-threatening condition in premature infants, often after feeding initiation. Classic findings include bloody stools, abdominal distension, and pneumatosis intestinalis on imaging.",0.03,7,,0
TDYA057J,"A 15-year-old boy presents to the ED with sudden onset chest pain and shortness of breath after basketball practice. He has no trauma or past medical history. On exam, he is tachypneic with decreased breath sounds and hyperresonance on the right side. Trachea is midline. Chest X-ray confirms a moderate right-sided pneumothorax.","What is the best next step in management?","Needle decompression","Chest tube placement","Observation with oxygen supplementation",Bronchoscopy,"Immediate surgical pleurodesis",c,"A stable adolescent with a small to moderate spontaneous pneumothorax can often be managed with supplemental oxygen and observation. Chest tubes are reserved for larger or symptomatic pneumothoraces.",15.0,22,,0
TOSTSNV3,"A 7-year-old girl is brought to the emergency department for vomiting and abdominal pain. She has a known history of type 1 diabetes mellitus. The parents report that she has had flu-like symptoms for the past 2 days and has required less insulin than usual. On arrival, she is tachypneic with deep labored respirations, dry mucous membranes, and altered mental status. Her capillary glucose reads 420 mg/dL. Serum studies show metabolic acidosis with an elevated anion gap and positive serum ketones.","What is the most appropriate initial treatment?","IV dextrose and insulin bolus","IV fluids and insulin drip after volume resuscitation","Subcutaneous insulin and oral rehydration","Intramuscular glucagon and observation","Bicarbonate infusion",b,"This patient has diabetic ketoacidosis (DKA), characterized by hyperglycemia, ketosis, and metabolic acidosis. Initial management involves aggressive fluid resuscitation followed by insulin therapy. Electrolyte monitoring is critical to avoid complications.",7,6,,0
TP45Q3Y5,"A 6-month-old infant presents with severe cough, wheezing, and difficulty feeding. Symptoms started 2 days ago with nasal congestion. On exam, she is tachypneic with subcostal retractions and nasal flaring. Pulse oximetry shows 89% on room air. Chest X-ray shows hyperinflated lungs with flattened diaphragms.","What is the most appropriate initial management?","Start albuterol nebulizer","Administer systemic corticosteroids","Begin empiric antibiotics","Supportive care including oxygen and hydration","Obtain CT chest",d,"Bronchiolitis (usually caused by RSV) presents with cough, wheezing, and respiratory distress in infants. Management is primarily supportive. Routine use of bronchodilators or corticosteroids is not recommended unless trial shows benefit.",0.5,22,,0
TTPTGYSY,"A 15-year-old boy presents with painless gross hematuria noted during a routine physical. He has no other symptoms. Urinalysis shows isolated hematuria without proteinuria or casts. Family history reveals a father with hearing loss and kidney problems.","What is the most likely diagnosis?","Alport syndrome","IgA nephropathy","Focal segmental glomerulosclerosis","Thin basement membrane disease","Polycystic kidney disease",a,"Alport syndrome is a hereditary nephropathy characterized by hematuria, sensorineural hearing loss, and ocular abnormalities. It is often X-linked and should be suspected in adolescents with family history of renal failure and hearing loss.",15.0,20,,0
TWNN6OAT,"A 9-year-old girl presents with progressive eye pain, redness, and photophobia over several days. She has a history of juvenile idiopathic arthritis. Slit-lamp exam shows anterior uveitis. There is no purulent discharge, and visual acuity is mildly reduced.","What is the most appropriate management step?","Topical antihistamines","Refer to ophthalmology for slit-lamp exam and corticosteroids","Start oral antibiotics","Reassure and monitor in 1 week","Prescribe oral NSAIDs",b,"Children with juvenile idiopathic arthritis are at risk for uveitis. Prompt ophthalmology referral is needed for diagnosis and treatment to prevent vision loss. Topical corticosteroids and sometimes systemic immunosuppression are required.",9,18,,0
TY08H0E6,"A 17-year-old girl presents to the clinic after noticing a small, painless lump in her right breast while showering. She has no history of trauma, fever, or weight loss. Her last menstrual period was 1 week ago and regular. She denies any family history of breast or ovarian cancer. On examination, a mobile, well-circumscribed, rubbery mass about 1.5 cm in diameter is palpated in the upper outer quadrant of the right breast. No skin changes, nipple discharge, or axillary lymphadenopathy are present. The patient is anxious and asks if she needs imaging or a biopsy.","What is the most appropriate next step in management?","Schedule urgent breast ultrasound","Reassure and observe through menstrual cycle","Refer to breast surgery","Order serum tumor markers","Perform fine-needle aspiration",b,"In adolescents, most breast masses are benign fibroadenomas or related to fibrocystic changes. A mobile, non-tender, rubbery mass without red flags (e.g., skin changes, nipple discharge, lymphadenopathy) typically does not require immediate imaging. Initial management is reassurance and observation through one or more menstrual cycles to assess for resolution or persistence.",17,1,,0
U9K49NBK,"A 16-year-old girl presents for a routine checkup and tells the pediatrician that she is thinking about ending her life. She asks the physician not to tell her parents. She is alert and cooperative.","What is the most appropriate next step?","Respect confidentiality and monitor her symptoms","Tell her parents without her consent","Explain the need to break confidentiality and ensure safety","Prescribe antidepressants immediately","Refer to school counselor",c,"Suicidal ideation in a minor is a safety concern that overrides confidentiality. Physicians should explain the limits of confidentiality and involve parents or guardians to ensure the adolescent's safety, potentially including urgent psychiatric evaluation.",16,1,,0
UU3JMM1V,"A 14-year-old girl is evaluated for primary amenorrhea. She has normal breast development and external female genitalia. She denies pelvic pain. On ultrasound, she is found to have no uterus or upper vagina. Karyotype is 46,XX.","Which of the following is the most likely cause of her amenorrhea?","Turner syndrome","Müllerian agenesis","Androgen insensitivity syndrome","Hypogonadotropic hypogonadism","Pituitary tumor",b,"Müllerian agenesis presents with primary amenorrhea in girls who have normal breast development and a 46,XX karyotype. The absence of uterus and upper vagina on ultrasound confirms the diagnosis.",14,1,,0
V0AS32XJ,"A 10-year-old child presents with syncope during physical activity. There is no history of illness or dehydration. On family history, an uncle died suddenly in his 20s. Physical exam reveals a systolic murmur that increases with Valsalva maneuver.","What is the most likely diagnosis?","Aortic stenosis","Hypertrophic cardiomyopathy","Long QT syndrome","Mitral valve prolapse","Pulmonary stenosis",b,"Hypertrophic cardiomyopathy (HCM) is a common cause of sudden cardiac death in adolescents. The murmur increases with Valsalva (decreased preload), and family history is a key clue. Syncope with exercise is highly suspicious.",10,2,,0
VQ8Q9FYW,"A 9-month-old infant is brought in for a routine well-child check. The parents report that the baby pulls to stand, uses a pincer grasp to pick up small bits of food, and says 'mama' and 'dada' non-specifically. She has recently started showing signs of stranger anxiety. Growth and vital signs are normal.","Which developmental domain does stranger anxiety fall under?","Gross motor",Language,"Fine motor",Social-emotional,Cognitive,d,"Stranger anxiety typically emerges around 9 months and is part of normal social-emotional development. It reflects a developing attachment and understanding of familiar vs unfamiliar individuals.",0.75,4,,0
VYUV25VG,"A 7-year-old girl presents with cola-colored urine, facial swelling, and decreased urine output. She had a sore throat 2 weeks ago. Physical exam reveals periorbital edema and elevated blood pressure. Urinalysis shows hematuria, red blood cell casts, and mild proteinuria.","What is the most likely diagnosis?","Henoch-SchÃ¶nlein purpura","Poststreptococcal glomerulonephritis","Hemolytic uremic syndrome","Minimal change disease","Diabetic nephropathy",b,"Poststreptococcal glomerulonephritis (PSGN) is the most common cause of acute nephritic syndrome in children. It typically follows a recent group A streptococcal infection. Hematuria, edema, and hypertension are classic findings.",7.0,20,,0
W5BL9DVA,"A 16-year-old female with known anorexia nervosa is admitted for nutritional rehabilitation. On the third hospital day, she becomes lethargic and complains of muscle weakness. Her lab results show hypophosphatemia, hypokalemia, and hypomagnesemia. ECG reveals prolonged QT interval.","Which of the following best describes the underlying cause of her symptoms?","Refeeding syndrome","Primary cardiac disorder","Electrolyte loss from vomiting","Central nervous system infection",Dehydration,a,"Refeeding syndrome results from a surge in insulin after reintroducing nutrition to malnourished patients. It causes cellular uptake of phosphate, potassium, and magnesium, which can lead to cardiac complications and neurologic changes.",16,1,,0
WF56YJ0T,"A 12-year-old girl presents with joint pain and fever. She recently had a sore throat but did not receive treatment. On exam, she has a new holosystolic murmur at the apex, and ECG shows a prolonged PR interval. ASO titers are elevated.","What is the most likely cause of her cardiac findings?","Congenital mitral valve prolapse","Infective endocarditis","Rheumatic fever with mitral regurgitation",Myocarditis,"Aortic valve stenosis",c,"This child meets criteria for acute rheumatic fever with carditis (mitral regurgitation murmur), arthritis, and elevated ASO titers. Prolonged PR interval reflects conduction involvement. Prompt treatment with penicillin and anti-inflammatory therapy is required.",12,2,,0
X0U5J4Z0,"A 16-year-old girl presents for evaluation of acne. She has moderate inflammatory acne on her face and upper back. She has tried over-the-counter benzoyl peroxide with limited success. She denies menstrual irregularities or signs of hyperandrogenism. She is distressed about her appearance and requests treatment.","What is the most appropriate next step in management?","Topical tretinoin and benzoyl peroxide","Start oral isotretinoin immediately","Order testosterone and DHEAS levels","Refer to dermatology","Recommend no treatment and reassurance",a,"Moderate acne that does not respond to over-the-counter treatment should be managed with topical retinoids and benzoyl peroxide. Oral therapy is reserved for more severe or refractory cases. Hormonal evaluation is unnecessary in the absence of other signs.",16,1,,0
XD650M5U,"A 13-year-old boy is brought to the clinic by his mother due to concern about his slow growth and delayed puberty. He is shorter than most of his classmates and has no signs of secondary sexual characteristics. His academic performance is normal, and he denies chronic illness. His father also reports being a late bloomer during adolescence. Physical exam reveals Tanner stage I for both genitalia and pubic hair. Bone age is consistent with a 10-year-old.","What is the most likely diagnosis?","Kallmann syndrome","Constitutional growth delay","Growth hormone deficiency","Chronic renal disease","Turner syndrome",b,"Constitutional growth delay is a common and benign cause of short stature and delayed puberty in boys. It is characterized by a normal growth velocity and delayed bone age. A positive family history of late puberty supports the diagnosis.",13,1,,0
XFUCHM1D,"A 15-year-old girl is evaluated for secondary amenorrhea. She had regular menses starting at age 12 but has not menstruated in the past 6 months. She reports weight loss, excessive exercise, and dietary restriction in an effort to improve athletic performance. Her BMI is 17.0. On exam, she appears thin, with Tanner stage V breast development. Laboratory tests show normal prolactin and TSH, low LH/FSH, and low estradiol.","What is the most likely cause of her amenorrhea?","Turner syndrome","Primary ovarian insufficiency","Hypothalamic suppression due to low energy availability","Polycystic ovary syndrome",Hyperprolactinemia,c,"Secondary amenorrhea in a thin adolescent who engages in excessive exercise and caloric restriction is most often due to hypothalamic suppression. The resulting hypogonadotropic hypogonadism leads to low LH/FSH and estrogen levels. Management includes nutritional rehabilitation.",15,6,,0
XQU1GI5S,"A 4-year-old girl presents for evaluation of fatigue and poor exercise tolerance. Her parents report that she squats frequently during play. Physical exam reveals a harsh systolic ejection murmur at the left upper sternal border and a single second heart sound. Oxygen saturation is 85%.","What is the most likely diagnosis?","Tricuspid atresia","Tetralogy of Fallot","Total anomalous pulmonary venous return","Ebstein anomaly","Atrial septal defect",b,"Tetralogy of Fallot presents with cyanosis, systolic murmur due to RV outflow obstruction, and compensatory squatting (increases SVR to reduce right-to-left shunting). A single S2 and low O2 saturation are classic findings.",4,2,,0
XRQ7E2DY,"An 8-year-old girl presents with painless cervical lymphadenopathy that has been progressively enlarging over the past month. She reports intermittent fevers, drenching night sweats, and weight loss. The lymph nodes are firm, rubbery, and non-tender. Chest X-ray reveals mediastinal widening.","What is the most likely diagnosis?","Acute lymphoblastic leukemia","Non-Hodgkin lymphoma","Hodgkin lymphoma","Tuberculous lymphadenitis","Infectious mononucleosis",c,"Hodgkin lymphoma typically presents with painless lymphadenopathy and B symptoms (fever, night sweats, weight loss). Mediastinal mass is common in adolescents and young adults. Biopsy of the lymph node is necessary for diagnosis.",8.0,17,,0
Y1ILJT9Y,"A 16-month-old boy is brought to the emergency department due to 2 days of irritability, vomiting, and decreased activity. His temperature is 39.2°C (102.6°F). On exam, he is listless and mildly hypotensive. He has no tonsillar tissue, and his lymph nodes are not palpable. Medical history includes multiple episodes of otitis media and pneumonia. Flow cytometry shows absent CD19+ B cells and normal T-cell count.","What is the most likely underlying diagnosis?","DiGeorge syndrome","Wiskott-Aldrich syndrome","Hyper-IgM syndrome","X-linked agammaglobulinemia","Severe combined immunodeficiency",d,"X-linked agammaglobulinemia (Bruton's agammaglobulinemia) presents in male infants with recurrent bacterial infections, absent lymphoid tissue (tonsils, nodes), and markedly reduced or absent B cells. It results from a mutation in the BTK gene affecting B cell maturation.",1.3,11,,0
